,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
1507,15-1190,1220,7.6,0.02,74570,2.3,51440,71720,94970,250.792,128.2,3.8,2701.49,2018
1508,15-1199,1220,7.6,0.02,74570,2.3,51440,71720,94970,250.792,128.2,3.8,2701.49,2018
1509,15-2000,40,19.0,0.0,76280,5.1,58220,71990,82860,250.792,128.2,3.8,2701.49,2018
1510,15-2030,40,19.0,0.0,76280,5.1,58220,71990,82860,250.792,128.2,3.8,2701.49,2018
1511,15-2031,40,19.0,0.0,76280,5.1,58220,71990,82860,250.792,128.2,3.8,2701.49,2018
1512,17-0000,90260,1.8,1.26,77800,0.7,54870,71230,94100,250.792,128.2,3.8,2701.49,2018
1513,17-1000,7540,4.7,0.11,76900,2,53830,71280,92540,250.792,128.2,3.8,2701.49,2018
1514,17-1010,3810,8.0,0.05,87830,2.8,62250,78060,101300,250.792,128.2,3.8,2701.49,2018
1515,17-1011,3540,8.5,0.05,88390,3,62630,78110,101690,250.792,128.2,3.8,2701.49,2018
1516,17-1012,270,15.2,0.0,80540,4.5,57140,77330,97330,250.792,128.2,3.8,2701.49,2018
1517,17-1020,3730,4.6,0.05,65750,1.6,46400,62920,82430,250.792,128.2,3.8,2701.49,2018
1518,17-1021,60,28.7,0.0,56720,5.4,44510,55410,67670,250.792,128.2,3.8,2701.49,2018
1519,17-1022,3680,4.7,0.05,65900,1.6,46440,63100,82680,250.792,128.2,3.8,2701.49,2018
1520,17-2000,55620,2.0,0.78,87120,0.8,63020,78860,103110,250.792,128.2,3.8,2701.49,2018
1521,17-2040,140,40.7,0.0,102150,3.8,77240,97570,122990,250.792,128.2,3.8,2701.49,2018
1522,17-2041,140,40.7,0.0,102150,3.8,77240,97570,122990,250.792,128.2,3.8,2701.49,2018
1523,17-2050,33450,2.5,0.47,86500,1.1,62370,77420,101410,250.792,128.2,3.8,2701.49,2018
1524,17-2051,33450,2.5,0.47,86500,1.1,62370,77420,101410,250.792,128.2,3.8,2701.49,2018
1525,17-2060,30,40.6,0.0,83510,13.4,61330,75010,114530,250.792,128.2,3.8,2701.49,2018
1526,17-2061,30,40.6,0.0,83510,13.4,61330,75010,114530,250.792,128.2,3.8,2701.49,2018
1527,17-2070,7880,5.6,0.11,89790,1.6,65570,83500,109370,250.792,128.2,3.8,2701.49,2018
1528,17-2071,6700,6.2,0.09,89640,1.7,65720,83520,108020,250.792,128.2,3.8,2701.49,2018
1529,17-2072,1170,12.0,0.02,90660,3.6,64680,83410,115570,250.792,128.2,3.8,2701.49,2018
1530,17-2080,290,15.1,0.0,95640,3.2,73650,92120,110070,250.792,128.2,3.8,2701.49,2018
